#Chinese homophony raw data
#Compiled by Stephen Politzer-Ahles, 2009-12-03
#This document was generated using Da Jun's character corpus <http://lingua.mtsu.edu/chinese-computing/> and
#  the Unihan database <http://www.unicode.org/charts/unihan.html> . If you use it for anything, please
#  credit these two sources accordingly

geng4	1  66F4
ying2	19  8425 8FCE 8D62 76C8 83B9 8747 8367 8424 701B 8426 5B34 6EE2 6979 8365 6F46 8314 84E5 877F 85C0
lu2	16  5362 7089 82A6 5E90 9885 9C88 9E2C 80EA 6CF8 823B 8F73 680C 5786 9229 7E91 946A
qiang1	16  67AA 62A2 8154 8DC4 545B 7F8C 9535 6215 9397 8723 6217 9516 956A 7BEC 8E61 9E27
pan4	10  5224 53DB 76FC 7554 62DA 88A2 6CEE 897B 92EC 772B
han3	4  558A 7F55 850A 7CEE
hou4	6  5019 539A 9005 9C8E 5820 90C8
zuo2	3  6628 7A13 7B70
beng2	1  752D
tiao4	4  8DF3 773A 7C9C 982B
lin1	1  62CE
mo1	1  6478
lun4	1  8BBA
lai4	7  8D56 7750 7C41 6FD1 765E 8D49 9D63
nue4	2  8650 759F
hai1	2  54B3 55E8
lan4	4  70C2 6EE5 7F06 7CF7
shun4	4  987A 77AC 821C 8563
jiao4	16  6559 89C9 53EB 8F83 6821 8F7F 7A96 9175 91AE 5CE4 5FBC 564D 85E0 8990 8A06 899A
guai3	1  62D0
shi2	19  65F6 5B9E 5341 4EC0 8BC6 77F3 98DF 62FE 8680 70BB 9CA5 83B3 794F 57D8 8FBB 9250 9F2B 9048 927D
tu3	3  571F 5410 948D
tong1	2  901A 55F5
zhai1	3  4FA7 6458 658B
kua1	1  5938
xiu3	2  5BBF 673D
fa4	3  53D1 73D0 855F
zei2	3  8D3C 9C97 8808
duan3	1  77ED
a4	2  963F 554A
chun2	11  7EAF 5507 9187 6DF3 693F 9E51 83BC 9659 9BD9 8123 9195
sao3	2  626B 5AC2
guan3	7  7BA1 9986 839E 9CE4 7B66 8F28 9327
pi2	22  76AE 75B2 813E 5564 6BD7 7435 88E8 9642 6787 7F74 9F19 94CD 868D 8C94 8731 8298 90EB 57E4 9674 8157 7BFA 96A6
yao2	20  6447 9065 59DA 7A91 8C23 7476 5C27 4FA5 80B4 723B 5FAD 7E47 5D24 9CD0 8E30 94EB 8F7A 73E7 98D6 9906
rao3	3  6270 5A06 9076
yun1	5  6655 6C32 8D5F 9835 8495
tuo4	6  62D3 553E 7BA8 67DD 8DC5 841A
gua1	7  74DC 522E 5471 80CD 9E39 681D 7DFA
cao4	1  808F
pa2	6  722C 6252 7436 8019 6777 7B62
xuan1	16  5BA3 8F69 55A7 6684 714A 8431 8C16 63CE 5107 8B5E 857F 7FE7 77CE 79A4 8AE0 777B
kang4	5  6297 7095 4EA2 4F09 94AA
jiu4	12  5C31 6551 65E7 8205 759A 548E 81FC 53A9 9E6B 67E9 50E6 6855
nai3	6  4E43 5976 6C16 827F 8FFA 91E2
bang4	11  8180 68D2 9551 508D 78C5 8C24 868C 84A1 7A16 8255 86D6
shuo1	1  8BF4
ling1	1  62CE
cha2	12  67E5 5BDF 8336 53C9 832C 78B4 643D 6942 69CE 6AAB 7339 8928
o2	1  54E6
la4	9  843D 814A 8FA3 524C 760C 9C72 9574 8FA2 81C8
duo1	5  591A 54C6 5484 6387 88F0
lang4	3  6D6A 83A8 8497
ne4	2  8BB7 7732
bi4	70  6BD4 5FC5 907F 6BD5 5E01 95ED 58C1 81C2 853D 8F9F 78A7 5F0A 6BD9 6CCC 965B 5E87 5A62 655D 75F9 74A7 5F3C 88E8 610E 8D32 84D6 8DF8 6BD6 54D4 859C 5B16 7540 94CB 7955 7BE6 7765 9AC0 6FDE 8406 895E 835C 7B5A 72F4 7986 9E0A 90B2 959F 8E84 6ED7 82FE 5EB3 89F1 8BD0 7B85 9D9D 7DBC 8890 870C 9F0A 9D13 9AF2 7F7C 80B8 7E74 8D51 9946 99DC 9DE9 7E2A 9A46 9B85
xu4	21  7EED 5E8F 7EEA 53D9 84C4 755C 65ED 5A7F 7D6E 6064 987C 7166 9157 52D6 6E86 85DA 6D2B 805F 7A38 8A39 76E2
chao4	1  8016
ban1	10  822C 73ED 642C 6591 9881 6273 7622 764D 7C53 8781
ai4	16  7231 827E 788D 5509 9698 66A7 55F3 55CC 7839 5AD2 7477 9D31 9749 8CF9 9440 8586
hen2	2  75D5 978E
ng	1  55EF
mou1	1  54DE
fen1	10  5206 7EB7 82AC 6C1B 5429 915A 73A2 96F0 7FC2 9216
nen4	1  5AE9
dang3	3  515A 6321 8C20
ding3	6  9876 9F0E 914A 827C 9424 9F11
jiong3	7  70AF 7A98 8FE5 988E 8927 8614 7D97
yin3	12  5F15 9690 996E 6BB7 5C39 763E 8693 7E2F 5432 98EE 91FF 9777
ling3	2  9886 5CAD
si1	19  65AF 53F8 601D 79C1 4E1D 6495 5636 53AE 549D 86F3 9536 9E36 7F0C 6F8C 9DC9 9F36 98D4 79A0 7997
le4	8  4E50 52D2 53FB 6CD0 4EC2 9CD3 7C15 97F7
kuang3	1  593C
zhuang4	6  72B6 58EE 649E 5E62 50EE 6206
mu3	8  6BCD 59C6 4EA9 59E5 7261 62C7 5776 782A
nao4	3  95F9 6DD6 81D1
miao3	8  79D2 6E3A 85D0 7F08 6DFC 9088 7707 676A
deng4	9  9093 77AA 51F3 6F84 8E6C 956B 5D9D 78F4 96A5
shuai3	1  7529
shen4	10  751A 614E 80BE 6E17 8703 80C2 845A 6939 7973 7718
liu4	7  516D 9646 905B 998F 9E68 9724 9B38
zhi4	51  5236 81F3 6CBB 8BC6 8D28 81F4 7F6E 667A 79E9 6EDE 63B7 7A1A 5E1C 631A 5CD9 7A92 7099 75D4 75E3 86ED 90C5 89EF 96C9 6809 684E 9E37 5E19 8D3D 965F 9A98 5F58 8F7E 8E2C 5FEE 94DA 88A0 80F5 8296 7D29 7FD0 79F2 9A3A 8DF1 92D5 889F 9527 7A19 899F 9A47 96B2 9D19
lun2	11  8BBA 4F26 8F6E 4ED1 6CA6 7EB6 62A1 56F5 83D5 9BE9 8140
fan1	7  7FFB 756A 5E06 85E9 5E61 8543 8F53
zhen1	23  771F 9488 73CD 4FA6 8D1E 659F 81FB 5E27 6862 796F 7504 7BB4 7827 699B 80D7 6939 6EB1 84C1 9241 799B 93AD 9C75 771E
chang2	10  957F 5E38 507F 5C1D 80A0 88F3 5AE6 82CC 5F9C 9CBF
hng	1  54FC
dong1	10  4E1C 51AC 549A 6C21 9E2B 5CBD 8740 7B17 9DAB 83C4
zui4	4  6700 7F6A 9189 855E
tou1	2  5077 936E
ao3	3  8884 5AAA 8779
sheng3	2  7701 771A
seng1	2  50E7 9B19
an3	5  4FFA 94F5 57EF 63DE 7F6F
nian1	2  62C8 852B
qian1	26  5343 7B7E 8FC1 7275 8C26 94C5 9A9E 9621 6106 4EDF 60AD 4F65 828A 6266 948E 8930 6434 7C64 7ACF 9E50 8688 85D6 97C6 7B9E 9206 5C8D
jue3	1  8E76
mao4	14  8D38 5192 8C8C 5E3D 8302 88A4 61CB 8004 7441 65C4 7780 911A 912E 82BC
dai3	3  902E 6B79 50A3
xuan2	7  65CB 7384 60AC 7487 6F29 8701 75C3
mai2	3  57CB 973E 8C8D
gong3	4  5DE9 62F1 6C5E 73D9
jie1	16  7ED3 63A5 8282 9636 8857 7686 63ED 5055 79F8 55DF 7596 5588 8893 813B 7A2D 83E8
chong3	1  5BA0
xing1	7  5174 661F 7329 8165 60FA 7BC2 9A8D
que2	1  7638
cong1	12  4ECE 5306 806A 8471 56F1 679E 82C1 9AA2 7481 8310 8066 8061
zuan1	2  94BB 8E9C
shuan1	3  6813 62F4 95E9
lia3	1  4FE9
tian4	1  63AD
tuan3	1  7583
bao2	3  8584 96F9 7A87
cang1	6  82CD 8231 4ED3 6CA7 4F27 87A5
zhang4	12  969C 4E08 5E10 4ED7 6DA8 80C0 8D26 6756 7634 5D82 5E5B 7795
ou1	8  533A 6B27 6BB4 9E25 8BB4 6CA4 74EF 93C2
ei1	1  8BF6
sao1	6  8258 9A9A 6414 81CA 7F2B 9CCB
jia4	6  4EF7 5047 67B6 9A7E 5AC1 7A3C
she2	6  6298 86C7 820C 4F58 63F2 86E5
lei	1  561E
zhai3	1  7A84
zha2	8  70B8 624E 672D 8F67 95F8 94E1 9705 8B57
xie3	3  5199 8840 85DB
ga2	4  560E 5676 9486 5C1C
lo	1  54AF
xiu1	12  4FEE 4F11 7F9E 9990 54BB 5EA5 9E3A 9AF9 8C85 9AE4 8119 929D
e3	1  6076
cou4	4  51D1 8F8F 8160 6971
bie1	3  618B 9CD6 9F08
wo3	1  6211
cai1	1  731C
yong4	2  7528 4F63
zan3	4  6512 661D 8DB1 62F6
tie1	3  8D34 5E16 841C
ju1	25  636E 8F66 5C45 4FF1 62D8 97A0 952F 72D9 9A79 75BD 63AC 8D84 96CE 97AB 88FE 82F4 9B88 9514 741A 6910 8E18 81C4 8DD4 824D 7F5D
chan2	19  5355 7F20 7985 8749 998B 87FE 5A75 6F7A 8C17 5B71 5EDB 6FB6 8E94 9141 7E5F 9575 92CB 7E92 913D
mei3	5  7F8E 6BCF 9541 6D7C 7F99
che4	6  5F7B 64A4 8F99 6F88 63A3 577C
kuang1	5  5321 7B50 8BD3 54D0 90BC
an1	15  5B89 5EB5 6C28 978D 8C19 9E4C 6849 9B9F 95C7 9D95 76E6 76EB 97FD 88FA 9D33
quan3	3  72AC 7EFB 754E
huang1	3  8352 614C 8093
a3	1  554A
teng1	1  81AF
jia3	8  5047 7532 8D3E 94BE 5CAC 80DB 560F 7615
ge3	6  5408 76D6 845B 8238 54FF 9C84
zhong1	13  4E2D 7EC8 949F 5FE0 8877 76C5 953A 5FEA 87BD 822F 87A4 8E71 9221
hu4	18  62A4 6237 4E92 7CCA 6CAA 6248 7B0F 795C 6019 5CB5 74E0 9E71 623D 9120 7C90 9CE0 51B1 7D94
rui4	6  745E 9510 777F 82AE 868B 6798
chu4	12  5904 89E6 755C 77D7 6410 9EDC 6035 7ECC 61B7 81C5 8E00 7ACC
ba4	11  628A 7238 7F62 9738 575D 8019 9C85 705E 9C8C 8987 8DC1
piao2	2  5AD6 74E2
mai4	6  5356 9EA6 8109 8FC8 52A2 551B
zhe1	3  906E 8707 87AB
xue1	3  524A 859B 9774
dao1	6  5200 53E8 6C18 5FC9 88EF 9C7D
shang4	3  4E0A 5C1A 7EF1
wa2	2  5A03 8B41
gui4	17  8D35 6842 67DC 8DEA 523D 6867 7094 7085 523F 9CDC 9C65 7786 79AC 84D5 8D7D 8DB9 8958
suan4	5  7B97 849C 7B07 7B6D 7958
ke1	22  79D1 9897 67EF 68F5 78D5 82DB 73C2 8F72 778C 874C 7AA0 55D1 988F 9AC1 7A1E 75B4 86B5 7C3B 94B6 7ABC 8DB7 8596
zheng3	2  6574 62EF
bi2	2  9F3B 8378
kao3	4  8003 70E4 62F7 6832
shao1	7  70E7 7A0D 68A2 634E 8244 7B72 86F8
zha	1  9987
er	1  513F
shu3	10  6570 5C5E 7F72 9F20 8700 6691 85AF 66D9 9ECD 7C54
chou2	14  4EC7 7B79 916C 6101 7EF8 7574 8E0C 7A20 60C6 4FE6 96E0 96D4 5E31 7D52
sheng1	11  751F 58F0 80DC 5347 7272 7525 7B19 965E 82FC 9F2A 935F
lan2	17  5170 84DD 62E6 680F 7BEE 5C9A 6F9C 5A6A 9611 6593 8934 9567 8C30 8955 847B 7C63 897D
xi2	16  4E60 5E2D 88AD 9521 5AB3 8936 6A84 96B0 89CB 90CB 9CDB 9A3D 972B 84C6 8582 93B4
pan2	6  76D8 78D0 8E52 87E0 81B0 8E2B
cheng1	10  79F0 6491 77A0 94DB 564C 86CF 67FD 8D6A 9833 93FF
ying4	4  5E94 786C 6620 5AB5
kuai1	1  5757
xia1	4  778E 867E 5477 9C15
cai4	4  91C7 83DC 8521 7E29
meng4	2  68A6 5B5F
hun1	5  5A5A 660F 8364 960D 7767
1-Jun	13  519B 5747 541B 94A7 9E87 76B2 9E95 9CAA 8880 7885 9E8F 89A0 8399
rong3	1  5197
bo2	30  4F2F 535A 8584 52C3 9A73 6CCA 8116 8236 640F 818A 5E1B 6E24 7B94 5B5B 94C2 7934 94B9 9E41 4EB3 8300 9AC6 99EE 8E23 9548 7921 824A 946E 7A5B 9AC9 8C70
sou4	1  55FD
zao2	1  51FF
peng1	9  7830 62A8 70F9 6026 562D 8EFF 959B 78DE 8F27
qu4	5  53BB 8DA3 89D1 9612 95B4
zang3	1  9A75
li1	1  54E9
long2	22  9F99 9686 7B3C 80E7 804B 5499 73D1 7ABF 830F 6CF7 783B 772C 680A 7643 9468 8971 9733 8E98 9A61 882A 7BED 9F93
sui1	8  867D 5C3F 7762 6FC9 837D 772D 9796 7C11
gan1	16  5E72 7518 809D 6746 5C34 7AFF 67D1 82F7 77F8 9150 6CD4 75B3 5769 7B78 7C93 98E6
gu4	13  6545 987E 56FA 4F30 96C7 9522 688F 5D2E 75FC 9CB4 797B 727F 980B
chou1	3  62BD 7633 8DFE
huan4	19  8FD8 6362 60A3 5E7B 5524 7115 5BA6 75EA 8C62 5942 6DA3 6D63 902D 6F36 9CA9 64D0 85E7 9BF6 77A3
chen2	13  9648 6C89 81E3 6668 6C88 5C18 8FB0 5FF1 8C0C 5BB8 852F 9E8E 831E
liang4	7  91CF 4EAE 8F86 8C05 8E09 667E 9753
hai3	4  6D77 91A2 80F2 917C
nan2	5  96BE 5357 7537 5583 6960
luan3	1  5375
lin3	4  51DB 61D4 5EEA 6AA9
pai4	3  6D3E 6E43 54CC
nuo4	8  8BFA 61E6 558F 7CEF 9518 6426 800E 7A2C
zhuai4	2  62FD 7749
hui2	5  56DE 86D4 6D04 8334 8FF4
guan1	10  5173 89C2 5B98 51A0 68FA 500C 839E 9CCF 8484 7AA4
qun1	2  9021 8E06
ni2	14  5462 5C3C 6CE5 502A 9713 6029 730A 9CB5 94CC 576D 9E91 873A 8C8E 9F6F
huo1	4  8C41 952A 6509 5290
xing3	3  7701 9192 64E4
sai1	4  585E 816E 9CC3 567B
bing3	10  5C4F 67C4 997C 4E19 79C9 7980 70B3 90B4 9235 927C
biao3	4  8868 5A4A 88F1 8AD8
er3	9  5C14 8033 9975 73E5 8FE9 6D31 94D2 85BE 8DB0
zuo4	13  4F5C 505A 5750 5EA7 51FF 5511 9162 795A 67DE 80D9 600D 963C 84D9
bo	2  535C 5575
ai2	4  764C 6328 7691 6371
gai1	5  8BE5 8D45 5793 9654 8344
qiong2	13  7A77 743C 7A79 909B 86E9 8DEB 928E 7B47 8315 86EC 85D1 7758 8D79
nie4	20  6D85 8042 5B7D 8E51 55EB 556E 954D 989E 81EC 4E5C 954A 8616 9667 83CD 9F67 7CF5 82F6 7CF1 8825 92F7
min3	12  654F 60AF 95FD 95F5 62BF 76BF 6CEF 9EFE 610D 9CD8 7C22 7DCD
wa1	6  6316 54C7 86D9 6D3C 5A32 7A8A
bie3	1  762A
zhuan3	2  8F6C 8EE2
nu4	1  6012
huang2	22  9EC4 7687 714C 60F6 51F0 8757 7C27 78FA 5FA8 749C 968D 6F62 6E5F 9051 7BC1 9CC7 87E5 953D 9404 824E 7640 845F
tong4	2  75DB 6078
zen4	1  8C2E
HASH(0xb79ac)	0 
ren3	4  5FCD 7A14 834F 79F9
huo3	4  706B 4F19 5925 94AC
ma3	6  9A6C 5417 739B 7801 8682 72B8
la2	3  524C 65EF 782C
yan3	22  773C 6F14 63A9 884D 5944 4FE8 5043 9B47 5156 9F39 7430 53A3 90FE 7F68 5261 9F82 9869 8758 83F4 9140 9EE1 9DA0
qiu1	15  79CB 4E18 90B1 86AF 9CC5 6E6B 6978 8DA5 97A7 97A6 79CC 9C0C 9E59 7A50 9F9D
pai2	5  6392 724C 5F98 4FF3 7C30
tang1	8  6C64 8E5A 7FB0 9557 9F1E 8025 95DB 97BA
miao1	1  55B5
yi3	20  4EE5 5DF2 6905 4E59 77E3 8681 501A 8FE4 65D6 82E1 9487 951C 8798 9857 9F6E 7B16 8223 9624 808A 7912
gui1	19  89C4 5F52 9F9F 7470 7845 95FA 572D 7688 5080 9C91 59AB 90BD 879D 81AD 96DF 88BF 9B36 9D02 77A1
lou4	5  9732 6F0F 964B 9542 7618
chi4	13  8D64 65A5 7FC5 53F1 70BD 6555 996C 557B 761B 8E05 50BA 8DA9 9DD8
jia2	9  5939 988A 835A 621B 90CF 88B7 86F1 94D7 605D
shi	1  5319
fen3	3  7C89 7793 9EFA
gun4	3  68CD 8B34 7774
nv4	3  8844 6067 8842
bu4	12  4E0D 90E8 6B65 5E03 6016 7C3F 57E0 949A 74FF 8500 7BF0 8E04
can3	2  60E8 9EEA
se4	10  8272 585E 745F 6DA9 556C 7A51 94EF 7E6C 7A6F 938D
feng4	6  5949 51E4 7F1D 8BBD 4FF8 8D57
quan4	2  5238 529D
pi3	9  5426 5339 5288 7656 75DE 572E 5E80 4EF3 64D7
dou1	4  90FD 515C 8538 7BFC
wu1	14  5C4B 4E4C 6C61 5DEB 545C 5140 8BEC 94A8 90AC 572C 9D2E 8DB6 8790 9C1E
gei3	1  7ED9
cao3	2  8349 8278
uu	5  8EBC 8248 84DE 8063 8672
chai1	3  5DEE 62C6 9497
li	1  54E9
gang1	11  521A 94A2 7EB2 5188 7F38 625B 6760 809B 7F61 7F41 91ED
hao3	2  597D 90DD
qie4	16  5207 7A83 602F 59BE 60EC 9532 8D84 6308 7BA7 614A 90E4 90C4 8A67 8E25 7A27 9411
teng2	8  817E 75BC 85E4 6ED5 8A8A 9086 7C50 7E22
lei3	14  7D2F 5792 857E 78CA 5121 8BD4 8012 790C 7D6B 854C 7928 9E13 8142 881D
zong4	4  4ECE 7EB5 7CBD 7CC9
ju4	29  636E 5177 53E5 5267 5DE8 8DDD 805A 62D2 60E7 4FF1 952F 77BF 70AC 8E1E 907D 98D3 949C 82E3 5028 8BB5 91B5 7AAD 8661 5C66 943B 728B 79EC 7C34 7C94
xuan4	15  65CB 7729 70AB 6E32 7EDA 94C9 6966 6CEB 955F 8852 7D43 88A8 7E3C 8519 99E8
wei4	27  4E3A 4F4D 672A 536B 5473 8C13 6170 9B4F 80C3 5582 754F 5C09 851A 6E2D 732C 9CDA 9728 82FF 8B8F 7859 93CF 8ECE 9935 85EF 8E9B 9317 9B87
sang3	4  55D3 6421 98A1 78C9
ran3	3  67D3 5189 82D2
bin4	6  9B13 6BA1 6448 8191 9ACC 9B02
ben4	5  5954 7B28 592F 574C 8F3D
gao4	7  544A 8BF0 9506 90DC 796E 799E 7970
dai1	2  5F85 5446
wai4	1  5916
yue1	2  7EA6 66F0
chuai2	1  8197
ren2	5  4EBA 4EC1 58EC 9D40 9B5C
qiao4	11  58F3 4FCF 5CED 7FD8 7A8D 9798 64AC 8BEE 8C2F 9657 8E03
ou4	2  6CA4 6004
o	1  7B7D
en2	1  5514
nai4	6  8010 5948 9F10 8418 67F0 8926
bing1	3  5175 51B0 69DF
ying3	5  5F71 9896 988D 90E2 763F
chuai4	3  8E39 562C 81AA
diao4	8  8C03 6389 540A 9493 94EB 94DE 8A0B 7A8E
gong4	3  5171 4F9B 8D21
dian4	18  7535 5E97 6BBF 7538 57AB 5960 6DC0 4F43 60E6 73B7 765C 94BF 975B 7C1F 963D 576B 8714 78F9
xin1	13  5FC3 65B0 8F9B 6B23 85AA 82AF 99A8 950C 946B 5FFB 6B46 8398 6615
diao1	10  96D5 5201 7889 51CB 53FC 8C82 9CB7 9D70 98A9 77F5
yao4	13  8981 836F 8000 94A5 9E5E 759F 66DC 7C65 825E 977F 7A94 77C5 7BB9
san4	1  6563
liu1	3  6E9C 7198 8E53
hong3	1  54C4
ba2	8  62D4 8DCB 9B43 83DD 8307 91DB 8EF7 9F25
e1	3  963F 5A40 5C59
bai2	1  767D
shuan4	2  6DAE 8168
zhei4	1  8FD9
zha4	11  70B8 8BC8 548B 4E4D 6805 69A8 86B1 54A4 67DE 91A1 75C4
nan3	3  8D67 877B 8169
hong4	5  54C4 8BA7 857B 95C0 95A7
men1	1  95F7
ji2	36  53CA 5373 96C6 7EA7 5403 6025 5409 75BE 8F91 7C4D 85C9 5AC9 68D8 6C72 4E9F 7B08 7620 5C8C 696B 82A8 84BA 5D74 4F76 6B9B 6222 9E61 857A 8E50 8128 8E16 8C3B 874D 9353 7BBF 978A 8D8C
rao2	4  9976 835B 6861 5A06
hu2	24  80E1 6E56 7CCA 72D0 58F6 8774 5F27 745A 846B 9E44 659B 9E58 56EB 9E55 69F2 89F3 7322 7173 9190 7E20 992C 9B71 9378 7910
luan2	10  631B 5CE6 9E3E 92AE 5B6A 683E 6EE6 8114 5A08 7F89
yin	1  9BA3
bian1	10  8FB9 7F16 97AD 8759 782D 7B3E 9CCA 7178 9089 7BAF
4-Jun	11  4FCA 90E1 5CFB 9A8F 7AE3 96BD 6343 8470 9982 7B98 8720
tun4	1  892A
niang2	1  5A18
yo	1  54DF
nong4	1  5F04
qin4	4  6C81 63FF 5423 83E3
heng2	7  6A2A 8861 6052 73E9 6841 8605 9E3B
zhan4	9  6218 7AD9 5360 98A4 7EFD 6E5B 6808 8638 83DA
lang3	2  6717 813C
shen3	11  5BA1 6C88 5A76 54C2 6E16 8C02 77E7 8C09 77AB 9B6B 90A5
chang4	5  5531 7545 5021 6005 9B2F
si3	1  6B7B
du4	9  5EA6 675C 6E21 809A 5992 9540 8839 828F 79FA
shao4	8  5C11 53EC 7ECD 54E8 90B5 52AD 6F72 8891
suo4	1  9024
chuan1	4  7A7F 5DDD 6C1A 5DDB
lie4	17  5217 70C8 88C2 730E 52A3 6D0C 51BD 8D94 9B23 6369 57D2 8E90 9B1B 86DA 7759 8322 811F
qiao2	16  6865 4E54 77A7 4FA8 7FD8 6A35 6194 835E 8C2F 5CE4 83EC 9792 785A 7744 7904 85EE
kun4	1  56F0
kuan3	2  6B3E 7ABE
yai2	1  5D16
ma4	5  9A82 8682 6769 551B 7943
qi3	13  8D77 4F01 542F 5C82 7A3D 4E5E 7EEE 675E 8291 7DAE 5C7A 7C2F 9094
pin4	2  8058 725D
pei4	8  914D 4F69 6C9B 8F94 65C6 5E14 9708 8337
sun1	5  5B59 836A 98E7 72F2 8575
du2	13  72EC 8BFB 6BD2 6E0E 728A 724D 9EE9 78A1 9AD1 691F 8B9F 97E5 945F
xi4	14  7CFB 7EC6 620F 5915 9699 960B 7FD5 9969 798A 8204 884B 7EE4 9491 95DF
gan3	10  611F 6562 8D76 6746 6A44 79C6 64C0 9CE1 7C33 6F89
xian4	17  73B0 89C1 7EBF 9650 53BF 732E 9677 5BAA 817A 7FA1 9985 9730 82CB 5C98 7CAF 8ED0 770C
nao3	5  8111 607C 7459 57B4 8133
reng1	1  6254
tui2	4  9893 9B4B 96A4 983A
yang2	16  9633 6D0B 6768 626C 7F8A 75A1 4F6F 7080 70CA 86D8 5F89 98CF 8AF9 9496 8F30 9D39
bao3	9  4FDD 5B9D 5821 9971 8446 8913 9E28 8CF2 85F5
ke3	4  53EF 6E34 5777 5CA2
shan3	4  95EA 9655 63BA 7752
ju2	10  5C40 83CA 6854 6A58 9514 9F30 7CB7 95B0 99F6 8F02
zhong4	7  4E2D 79CD 91CD 4F17 4EF2 8AE5 833D
deng3	2  7B49 6225
teng	1  9C27
zu2	7  8DB3 65CF 5352 955E 7D23 7BA4 7A21
ling2	34  7075 96F6 9F84 51CC 73B2 9675 94C3 83F1 4F36 7EEB 7FCE 8046 7F9A 82D3 86C9 5464 68C2 56F9 9CAE 6CE0 74F4 9143 9E30 888A 8232 7B2D 8DC9 67C3 9F62 79E2 797E 8A45 91BD 971D
chuo1	2  6233 8E14
zhe2	13  54F2 6298 8F99 8F84 86F0 647A 8707 8C2A 78D4 8B3A 88A9 7C8D 8A5F
chu2	15  9664 53A8 6A71 8E87 96CF 9504 520D 870D 8E70 6EC1 924F 84AD 8C60 8021 7BE8
hao1	3  84BF 8585 5686
diu1	2  4E22 94E5
die4	2  800B 7730
za3	1  548B
yun4	16  8FD0 5B55 6655 97F5 8574 915D 71A8 6120 607D 90D3 97EB 816A 7DF7 97D7 8CF1 992B
jian1	37  95F4 575A 76D1 6E10 5C16 80A9 517C 8270 6D45 6B7C 5978 714E 7B3A 7F04 97AF 83C5 728D 7F23 7BEF 6E54 9E63 97AC 620B 84B9 641B 9D73 9592 9498 844C 9CA3 9E89 9CD2 92FB 8573 9292 844F 8643
pen4	1  55B7
tian1	3  5929 6DFB 9EC7
zi4	7  81EA 5B57 6E0D 6063 7726 80D4 80FE
cheng3	3  901E 79E4 9A8B
nuo2	3  5A1C 632A 50A9
chou4	1  81ED
zhua3	1  722A
dan3	5  80C6 63B8 75B8 8D55 9EEE
zou4	2  594F 63CD
le	2  4E86 9979
san1	6  4E09 53C1 6BF5 5F61 9B16 7CC2
gan4	5  5E72 8D63 6DE6 7EC0 65F0
fo2	1  4F5B
chong4	2  51B2 94F3
zhao2	1  7740
gang3	2  6E2F 5C97
shai1	2  7B5B 917E
kao1	2  5C3B 8A04
zhan2	1  8B9D
beng4	7  8E66 8FF8 6CF5 750F 955A 8DF0 930B
min2	9  6C11 5CB7 7F17 73C9 739F 82E0 9231 76FF 8CEF
ruo4	6  82E5 5F31 504C 7BAC 9DB8 84BB
tan2	15  8C08 5F39 575B 8C2D 6F6D 75F0 6A80 6FB9 6619 8983 90EF 952C 9561 91B0 85EB
fei3	9  532A 6590 8BFD 7FE1 871A 69A7 60B1 7BDA 855C
lian3	5  8138 655B 740F 88E3 7FB7
ti1	5  68AF 8E22 5254 9511 8EC6
yang3	7  517B 4EF0 6C27 75D2 9785 99DA 7D3B
ku3	1  82E6
xiang3	7  60F3 54CD 4EAB 9977 98E8 9C9E 995F
lai2	7  6765 83B1 6D9E 5F95 5D03 94FC 9D86
xiao2	2  6DC6 5D24
duan1	1  7AEF
xu1	18  9700 987B 865A 5401 589F 5618 987C 80E5 620C 5729 7E7B 76F1 9B46 8C1E 8B43 8657 9B56 8566
tao4	1  5957
feng1	16  98CE 5C01 4E30 5CF0 75AF 950B 8702 67AB 70FD 6CA3 9146 8451 781C 9137 76FD 8C4A
ao2	13  71AC 9CCC 6556 55F7 7FF1 93D6 9068 87AF 7352 8071 5ED2 9F07 93D5
shua3	1  800D
ban4	8  529E 534A 4F34 626E 74E3 7ECA 62CC 8DD8
wei2	21  4E3A 7EF4 56F4 552F 8FDD 97E6 60DF 5E37 6845 5729 95F1 6F4D 5D6C 5E0F 6DA0 9BA0 934F 912C 89FF 6CA9 89FD
xiang4	9  5411 76F8 50CF 8C61 9879 5DF7 6A61 87D3 9C4C
tiao2	13  6761 8C03 8FE2 7B24 9F86 82D5 84DA 9AEB 9CA6 8729 9797 84E8 9BC8
chuang4	2  521B 6006
yue3	1  54D5
wai1	1  6B6A
ya4	14  4E9A 538B 8BB6 5A05 8F67 6C29 57AD 8FD3 7811 63E0 7A75 8F35 897E 7AAB
ci3	1  6B64
ta2	1  8E79
nuan3	1  6696
cuo2	6  75E4 77EC 9E7E 5D6F 7625 8658
can2	3  6B8B 8695 60ED
pu2	16  4EC6 8461 83E9 84B2 812F 749E 530D 6FEE 8386 917A 9564 8946 7A59 7E80 83D0 8D0C
cha1	10  5DEE 63D2 53C9 55B3 5693 6748 9538 8256 809E 81FF
sha2	1  5565
mi2	19  8FF7 5F25 8C1C 9761 7CDC 7315 9E8B 919A 7E3B 863C 7962 91BF 84BE 9E8A 91BE 8A78 7F59 9E0D 7C4B
jiang3	5  8BB2 848B 5956 6868 8029
ting2	11  505C 5EAD 5EF7 4EAD 9706 5A77 8713 8476 95AE 839B 9F2E
