#Chinese homophony raw data
#Compiled by Stephen Politzer-Ahles, 2009-12-03
#This document was generated using Da Jun's character corpus <http://lingua.mtsu.edu/chinese-computing/> and
#  the Unihan database <http://www.unicode.org/charts/unihan.html> . If you use it for anything, please
#  credit these two sources accordingly

geng4	1  66F4
kou1	3  62A0 82A4 770D
shan4	18  5355 5584 6247 7985 64C5 81B3 8BAA 6C55 8D61 7F2E 87EE 9CDD 5B17 912F 759D 5261 9A9F 7B27
xiong4	1  8BC7
jie2	26  7ED3 8282 6770 6D01 622A 6377 52AB 7AED 6854 8BD8 776B 9889 6840 5048 62EE 5B51 78A3 5A55 7FAF 8BA6 7596 7D5C 86E3 9C92 84F5 8710
cui1	6  8870 50AC 6467 5D14 69B1 78EA
du1	4  90FD 7763 561F 9607
sa3	3  6492 6D12 9778
te2	1  7279
pian3	1  8C1D
xu3	8  8BB8 6829 8BE9 7CC8 9126 9191 8A0F 76E8
chang1	7  660C 7316 5A3C 83D6 4F25 960A 9CB3
li2	33  79BB 4E3D 9ECE 7483 5398 72F8 68A8 7BF1 7281 6F13 7F79 8821 85DC 870A 9A8A 5AE0 9E42 9CA1 9EE7 55B1 7F21 7C9A 84E0 91A8 8935 8B27 9BCF 92EB 76E0 908C 9BEC 83DE 7B63
qian4	12  6B20 7EA4 6B49 5029 5D4C 831C 5811 82A1 614A 6920 84A8 7BDF
guang3	2  5E7F 72B7
lan3	7  89C8 61D2 63FD 7F06 6984 7F71 6F24
zang1	3  810F 8D43 81E7
su4	22  8BC9 901F 7D20 8083 5BBF 5851 6EAF 7C9F 612B 7C0C 8C21 5919 55C9 50F3 6D91 89EB 850C 9A95 9061 85D7 7C9B 8186
guai4	1  602A
tong2	22  540C 7AE5 94DC 6850 4F5F 77B3 916E 6F7C 5F64 4F97 50EE 5CD2 783C 4EDD 833C 7CA1 79F1 8692 7A5C 9907 772E 9C96
ming4	2  547D 8A7A
cuan4	3  7A9C 7BE1 7228
niu1	1  599E
juan4	12  5377 5708 5026 7EE2 7737 9529 9104 72F7 774A 7760 7D6D 7F65
shang1	7  5546 4F24 71B5 5892 89DE 6B87 8B2A
zhuang1	6  88C5 5E84 6869 5986 8358 7CA7
sai4	3  8D5B 585E 7C3A
sui4	14  5C81 788E 9042 96A7 7A57 795F 9083 71E7 8C07 8B62 7E50 79AD 9429 7A5F
tang3	7  8EBA 5018 6DCC 50A5 5E11 60DD 77D8
zai3	4  8F7D 4ED4 5BB0 5D3D
liao2	18  7597 804A 8FBD 50DA 5BE5 64A9 7F2D 6F66 71CE 5BEE 7360 5639 9E69 8C42 9560 81AB 818B 7AC2
piao3	6  6F02 779F 7F25 83A9 6B8D 91A5
ha3	1  54C8
tuan2	4  56E2 629F 7CF0 9C44
de	4  7684 5730 5F97 5E95
hu3	5  864E 552C 6D52 7425 865D
zhi3	18  53EA 6307 6B62 7EB8 65E8 5740 8DBE 54AB 916F 82B7 7949 67B3 962F 9EF9 8F75 89DD 831D 85E2
shua4	1  5237
ang2	1  6602
zou1	10  90B9 8BCC 8BF9 9CB0 9A7A 9139 966C 83C6 9F7A 7DC5
bian3	8  6241 8D2C 533E 890A 7A86 78A5 91C6 89B5
ya2	10  7259 5D16 6DAF 82BD 8859 4F22 869C 740A 775A 5C88
guo3	9  679C 88F9 7313 9983 6901 873E 7DB6 83D3 7CBF
pou1	1  5256
si4	22  56DB 4F3C 98DF 5BFA 9972 8086 55E3 4F3A 7940 5DF3 4FDF 6CD7 7B25 59D2 9A77 6C5C 801C 5155 8997 857C 7AE2 79A9
qia1	2  6390 845C
miu4	1  8C2C
yin2	17  94F6 541F 6DEB 5BC5 9F88 57A0 5924 911E 72FA 972A 87EB 7C8C 8A1A 9DE3 8A14 7892 8A21
yang4	6  6837 6F3E 6059 600F 7F95 8A47
qiong	1  85ED
sheng4	8  80DC 5723 76DB 5269 5D4A 665F 8CF8 8542
pao1	3  629B 6CE1 812C
ce4	10  7B56 6D4B 4FA7 518C 5395 607B 7CA3 8417 7BA3 84DB
na4	11  90A3 7EB3 5A1C 5450 94A0 637A 8872 80AD 9779 88A6 7BDB
cu1	3  7C97 9E84 9EA4
fan2	17  51E1 70E6 7E41 6A0A 8543 71D4 77FE 9492 8629 8E6F 9407 7E59 9DED 881C 85A0 7DD0 7B32
kuang2	4  72C2 8BF3 8EE0 9D5F
e2	14  989D 4FC4 54E6 9E45 5A25 5CE8 86FE 8BB9 83AA 9507 86B5 9C2A 8B4C 774B
gai3	1  6539
lao1	2  635E 7CA9
po1	7  5761 9887 6CFC 9642 948B 6534 9166
long1	1  9686
qin2	17  79E6 52E4 7434 79BD 64D2 82B9 5659 82A9 55EA 6A8E 8793 6EB1 77DD 8804 9219 83E6 9202
da	1  75B8
gu3	23  53E4 80A1 9AA8 8C37 9F13 6ED1 8D3E 86CA 9E44 6C69 94B4 9E58 6BC2 8BC2 726F 560F 7F5F 77BD 81CC 9989 8135 76EC 7CD3
kong1	6  7A7A 5D06 5025 7B9C 8EBB 9D7C
shai4	1  6652
che3	1  626F
suo3	6  6240 7D22 9501 7410 5522 93C1
zan4	8  8D5E 6682 74D2 933E 8B9A 9142 8E54 9961
zeng1	9  589E 66FE 618E 7F2F 7F7E 77F0 8B44 912B 78F3
ca3	1  7924
qin3	3  5BDD 9513 7B09
mi1	3  772F 54AA 7787
chuai1	2  63E3 640B
yuan3	1  8FDC
bai1	1  63B0
zha3	5  7728 781F 9C9D 9C8A 82F2
zhui4	11  5760 7F00 8D58 60F4 7F12 918A 7908 9323 8AC8 7B0D 991F
luo1	2  7F57 634B
gui3	10  9B3C 8F68 8BE1 7678 5E8B 5326 5B84 6677 7C0B 796A
meng3	9  8499 731B 61F5 9530 8813 8722 52D0 77C7 824B
nou2	1  7FBA
chan3	8  4EA7 9610 94F2 8C04 8487 5181 95B3 9AA3
ga3	1  5C15
zhai4	5  503A 796D 5BE8 7826 7635
pan3	1  76FB
niu3	6  7EBD 626D 94AE 5FF8 72C3 9775
zhang1	15  5F20 7AE0 5F70 748B 6F33 6A1F 87D1 9123 7350 5ADC 9E9E 7CBB 93F1 8501 9A3F
shang3	3  8D4F 664C 57A7
la	3  84DD 5566 97A1
men	1  4EEC
gou3	7  72D7 82DF 67B8 7B31 5CA3 8008 8007
guo1	8  90ED 9505 6DA1 8748 8052 5D1E 5459 57DA
ceng2	3  66FE 5C42 8E6D
kui1	7  4E8F 7AA5 76D4 5CBF 609D 8067 95DA
cai2	4  624D 8D22 6750 88C1
hu1	9  4E4E 547C 5FFD 60DA 553F 6EF9 70C0 8656 8F77
ang4	1  76CE
hong2	18  7EA2 6D2A 5B8F 9E3F 8679 5F18 6CD3 836D 7AD1 95F3 7EAE 857B 9EC9 7FC3 92D0 7D2D 7AE4 8C3C
reng2	2  4ECD 793D
chu3	9  5904 695A 7840 50A8 891A 6775 7987 696E 9F7C
sheng2	2  7EF3 6E11
dui1	2  5806 9D2D
wa3	2  74E6 4F64
rong2	17  5BB9 8363 878D 6EB6 7ED2 84C9 7194 620E 9555 8338 6995 5D58 809C 877E 8923 99E5 72E8
fou3	3  5426 7F36 7F3B
xie1	5  4E9B 6B47 6954 874E 880D
ya	1  5440
hen4	1  6068
zhuan1	5  4E13 7816 989B 8011 911F
nan1	1  56E1
ba3	3  628A 9776 94AF
liang3	5  4E24 4FE9 9B49 88F2 873D
E4	1  9102
guang1	7  5149 80F1 54A3 92A7 6844 7844 8DAA
quan2	19  5168 6743 6CC9 62F3 75CA 8737 8BE0 8343 98A7 94E8 919B 9B08 7B4C 9CC8 8B54 7D5F 8F81 7842 8472
shui2	2  8C01 813D
guan4	16  89C2 60EF 8D2F 51A0 704C 7F50 9E73 76E5 6DAB 63BC 797C 77D4 96DA 7F46 93C6 9475
ning2	8  5B81 51DD 62E7 72DE 67E0 549B 752F 804D
xie4	28  89E3 8C22 68B0 6CC4 5378 5C51 61C8 6CFB 87F9 4EB5 69AD 71EE 9082 736C 9AB1 7023 698D 6E2B 5EE8 8E9E 7EC1 85A4 97F0 85A2 9F5B 7F37 880F 8751
lin2	22  6797 4E34 90BB 6DCB 7433 9E9F 9CDE 78F7 9716 7CBC 5D99 9074 5549 8F9A 7B96 9E90 7CA6 9A4E 77B5 93FB 96A3 9B7F
zhu4	24  7740 4F4F 6CE8 52A9 7B51 9A7B 795D 67F1 94F8 8D2E 86C0 4F2B 677C 7BB8 70B7 82CE 7FE5 7EBB 8DD3 9E86 75B0 7ADA 7F9C 7969
kou3	1  53E3
lv2	5  9A74 6988 95FE 85D8 99BF
